Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
A,"Agilent Technologies, Inc.",76.3,$24.3B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a
AA,Alcoa Corporation,28.55,$5.28B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa
AAC,"AAC Holdings, Inc.",2.72,$66.92M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac
AAN,"Aaron&#39;s,  Inc.",50.4,$3.66B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan
AAP,Advance Auto Parts Inc,157.22,$11.46B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap
AAT,"American Assets Trust, Inc.",43.06,$2.03B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat
AB,AllianceBernstein Holding L.P.,29.97,$2.89B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab
ABB,ABB Ltd,19.6,$41.78B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb
ABBV,AbbVie Inc.,79.08,$118.95B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv
ABC,AmerisourceBergen Corporation (Holding Co),86.64,$18.29B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc
ABEV,Ambev S.A.,4.88,$76.72B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev
ABG,Asbury Automotive Group Inc,73.63,$1.44B,2002,Consumer Durables,Automotive Aftermarket,https://www.nasdaq.com/symbol/abg
ABM,ABM Industries Incorporated,34.68,$2.29B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm
ABR,Arbor Realty Trust,11.92,$1.03B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.73,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,25.5972,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/abr^b
